Timestamp,Value
2013-03-04,2.57808
2013-03-11,2.39237
2013-03-18,2.06778
2013-03-25,1.90281
2013-04-01,1.65902
2013-04-08,1.43006
2013-04-15,1.27757
2013-04-22,1.19009
2013-04-29,1.09556
2013-05-06,1.08589
2013-05-13,1.07343
2013-05-20,1.01677
2013-05-27,1.04847
2013-06-03,0.920349
2013-06-10,0.920779
2013-06-17,0.904333
2013-06-24,0.83057
2013-07-01,0.862837
2013-07-08,0.732182
2013-07-15,0.724558
2013-07-22,0.740848
2013-07-29,0.726037
2013-08-05,0.755639
2013-08-12,0.761847
2013-08-19,0.779896
2013-08-26,0.899138
2013-09-02,0.999524
2013-09-09,1.0558
2013-09-16,1.0967
2013-09-23,1.24709
2013-09-30,1.15746
2013-10-07,1.27184
2013-10-14,1.31623
2013-10-21,1.37444
2013-10-28,1.46781
2013-11-04,1.5834
2013-11-11,1.60253
2013-11-18,1.72344
2013-11-25,2.11076
2013-12-02,2.1708
2013-12-09,2.36971
2013-12-16,3.15997
2013-12-23,4.59053
2013-12-30,4.28195
2014-01-06,3.56288
2014-01-13,3.36378
2014-01-20,3.39659
2014-01-27,3.11922
2014-02-03,2.83572
2014-02-10,2.48484
2014-02-17,2.2741
2014-02-24,2.07244
2014-03-03,1.98207
2014-03-10,1.82441
2014-03-17,1.82036
2014-03-24,1.75391
2014-03-31,1.74542
2014-04-07,1.67236
2014-04-14,1.51659
2014-04-21,1.44778
2014-04-28,1.29028
2014-05-05,1.37388
2014-05-12,1.34208
2014-05-19,1.34563
2014-05-26,1.21291
2014-06-02,1.19291
2014-06-09,1.14146
2014-06-16,1.06503
2014-06-23,1.12669
2014-06-30,0.947353
2014-07-07,0.944187
2014-07-14,0.934822
2014-07-21,0.81736
2014-07-28,0.852792
2014-08-04,0.746994
2014-08-11,0.761098
2014-08-18,0.767627
2014-08-25,0.862176
2014-09-01,0.984907
2014-09-08,1.16287
2014-09-15,1.22731
2014-09-22,1.2071
2014-09-29,1.16191
2014-10-06,1.30905
2014-10-13,1.37072
2014-10-20,1.43373
2014-10-27,1.42791
2014-11-03,1.61605
2014-11-10,1.65976
2014-11-17,2.05459
2014-11-24,2.53541
2014-12-01,2.54253
2014-12-08,3.60563
2014-12-15,4.90976
2014-12-22,5.98221
2014-12-29,5.47421
2014-12-29,4.21374
2015-01-05,4.21022
2015-01-12,4.25968
2015-01-19,3.97761
2015-01-26,3.63443
2015-02-02,3.26527
2015-02-09,2.93083
2015-02-16,2.54474
2015-02-23,2.47227
2015-03-02,2.35665
2015-03-09,2.17008
2015-03-16,2.04297
2015-03-23,1.954
2015-03-30,1.72287
2015-04-06,1.53694
2015-04-13,1.38283
2015-04-20,1.46265
2015-04-27,1.38934
2015-05-04,1.3468
2015-05-11,1.25452
2015-05-18,1.21636
2015-05-25,1.16734
2015-06-01,1.04654
2015-06-08,0.943661
2015-06-15,0.935046
2015-06-22,0.934726
2015-06-29,0.864118
2015-07-06,0.806535
2015-07-13,0.742747
2015-07-20,0.737859
2015-07-27,0.743224
2015-08-03,0.805251
2015-08-10,0.816943
2015-08-17,0.814518
2015-08-24,0.86067
2015-08-31,0.886704
2015-09-07,1.00845
2015-09-14,1.06625
2015-09-21,1.05995
2015-09-28,1.22559
2015-10-05,1.31066
2015-10-12,1.3711
2015-10-19,1.39171
2015-10-26,1.43712
2015-11-02,1.50165
2015-11-09,1.59805
2015-11-16,1.89668
2015-11-23,1.67728
2015-11-30,1.78296
2015-12-07,1.87336
2015-12-14,2.32148
2015-12-21,2.40991
2016-01-04,1.94328
2016-01-11,1.99796
2016-01-18,2.11829
2016-01-25,2.25112
2016-02-01,2.37116
2016-02-08,2.80035
2016-02-15,3.16475
2016-02-22,3.15183
2016-02-29,3.3321
2016-03-07,3.56024
2016-03-14,3.05479
2016-03-21,2.76732
2016-03-28,2.44161
2016-04-04,2.03348
2016-04-11,1.98593
2016-04-18,1.91514
2016-04-25,1.69968
2016-05-02,1.57635
2016-05-09,1.3935
2016-05-16,1.29941
2016-05-23,1.18379
2016-05-30,1.13723
2016-06-06,1.04118
2016-06-13,0.971814
2016-06-20,0.863306
2016-06-27,0.833797
2016-07-04,0.784516
2016-07-11,0.734327
2016-07-18,0.698845
2016-07-25,0.723099
2016-08-01,0.663501
2016-08-08,0.69276
2016-08-15,0.710029
2016-08-22,0.834232
2016-08-29,0.992621
2016-09-05,1.01605
2016-09-12,1.07169
2016-09-19,1.10163
2016-09-26,1.18841
2016-10-03,1.2019
2016-10-10,1.23108
2016-10-17,1.26796
2016-10-24,1.36298
2016-10-31,1.48535
2016-11-07,1.55954
2016-11-14,1.64783
2016-11-21,1.91275
2016-11-28,1.81725
2016-12-05,1.91433
2016-12-12,2.21003
2016-12-19,2.73568
2016-12-26,3.36832
2017-01-02,3.09689
2017-01-09,3.07346
2017-01-16,3.51643
2017-01-23,3.8027
2017-01-30,4.50313
2017-02-06,5.06308
2017-02-13,4.86009
2017-02-20,4.57916
2017-02-27,3.55674
2017-03-06,3.50417
2017-03-13,3.21511
2017-03-20,3.10088
2017-03-27,2.79056
2017-04-03,2.38547
2017-04-10,1.9703
2017-04-17,1.73442
2017-04-24,1.56303
2017-05-01,1.4128
2017-05-08,1.27492
2017-05-15,1.2834
2017-05-22,1.16663
2017-05-29,1.10977
2017-06-05,1.04333
2017-06-12,0.905151
2017-06-19,0.902718
2017-06-26,0.859531
2017-07-03,0.818998
2017-07-10,0.752505
2017-07-17,0.731146
